nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
50122,1381004,Unnamed tarn Tarndale Brook,,18/11/1964,,NIWA,,Unnamed tarn,Not Entered,Perennial,,621.595,Clarence R,1595205,5336131,-42.126913,172.941986,13057273,1037,224.5,n,u,u,,,,,,Unknown,,,,,,,,,,Still:100,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Galaxias brevipinnis,Koaro,,,FALSE,FALSE,,,,,V1
50122,1381004,Unnamed tarn Tarndale Brook,,18/11/1964,,NIWA,,Unnamed tarn,Not Entered,Perennial,,621.595,Clarence R,1595205,5336131,-42.126913,172.941986,13057273,1037,224.5,n,u,u,,,,,,Unknown,,,,,,,,,,Still:100,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Gobiomorphus alpinus,Tarndale bully,,,FALSE,FALSE,,,,,V1
50124,1381003,Bowscale Tarn,,1960-02,,Unknown Institution,,Bowscale Tarn,Not Entered,Perennial,,621.595,Clarence R,1596004,5336031,-42.127818,172.951653,13057301,1030,223.5,n,u,u,,,,,,Unknown,,,,,,,,,,Still:100,,,,Other - Not listed,Unknown,,,,,,,,,,,,,,Gobiomorphus alpinus,Tarndale bully,,,FALSE,FALSE,,,,,V1
50125,1381003,Bowscale Tarn,,30/05/1962,,Unknown Institution,,Bowscale Tarn,Not Entered,Perennial,,621.595,Clarence R,1596004,5336031,-42.127818,172.951653,13057301,1030,223.5,n,u,u,,,,,,Unknown,,,,,,,,,,Still:100,,,,Other - Not listed,Unknown,,,,,,,,,,,,,,Galaxias brevipinnis,Koaro,,2,FALSE,FALSE,,,,,V1
50126,1381003,Bowscale Tarn,,17/09/1964,,NIWA,,Bowscale Tarn,Not Entered,Perennial,,621.595,Clarence R,1596004,5336031,-42.127818,172.951653,13057301,1030,223.5,n,u,u,,,,,,Unknown,,,,,,,,,,Still:100,,,,Other - Not listed,Unknown,,,,,,,,,,,,,,Galaxias brevipinnis,Koaro,,,FALSE,FALSE,,,,,V1
50129,1381003,Bowscale Tarn,,17/11/1964,,NIWA,,Bowscale Tarn,Not Entered,Perennial,,621.595,Clarence R,1596004,5336031,-42.127818,172.951653,13057301,1030,223.5,n,u,u,,550,,,,Unknown,,,,13.3,,,,,,Still:100,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Gobiomorphus alpinus,Tarndale bully,,,FALSE,FALSE,,,,,V1
50129,1381003,Bowscale Tarn,,17/11/1964,,NIWA,,Bowscale Tarn,Not Entered,Perennial,,621.595,Clarence R,1596004,5336031,-42.127818,172.951653,13057301,1030,223.5,n,u,u,,550,,,,Unknown,,,,13.3,,,,,,Still:100,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Salmo trutta,Brown trout,,,FALSE,FALSE,,,,,V1
50129,1381003,Bowscale Tarn,,17/11/1964,,NIWA,,Bowscale Tarn,Not Entered,Perennial,,621.595,Clarence R,1596004,5336031,-42.127818,172.951653,13057301,1030,223.5,n,u,u,,550,,,,Unknown,,,,13.3,,,,,,Still:100,,,,Electric fishing - Type unknown,Unknown,1,,,,,,,,,,,,,Galaxias brevipinnis,Koaro,,,FALSE,FALSE,,,,,V1
101212,1381001,Fish Lake,41,7/03/2012,night,Department of Conservation Nelson Marlborough,,Fish Lake,Lake,Unknown,,601,Wairau R,1594308,5336711,-42.121683,172.931139,11056921,1040,159,n,u,u,2 transects each with 3 fine and 7 coarse gee minnows lge biomass of Daphnia,,,,,,,,,,,,,,,,,,,Traps - Gee minnow,Unknown,,,,,,,,20,,,,,,Gobiomorphus alpinus,Tarndale bully,,28,FALSE,FALSE,,36,65,,V1
101213,1381001,Fish Lake,42,7/03/2012,night,Department of Conservation Nelson Marlborough,,Fish Lake,Lake,Unknown,,601,Wairau R,1594325,5336706,-42.121728,172.931345,11056921,1040,159,n,u,u,,,,,,,,,,,,,,,,,,,,Fyke net - Fyke net including minifykes,Unknown,,,,,,,,3,,,,,,Anguilla dieffenbachii,Longfin eel,,7,FALSE,FALSE,,600,900,,V1
