nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
117265,1121007,Deepdell Creek,,26/02/2019,,Ryder Environmental Limited,,Deepdell Creek,Not Entered,Unknown,,726.17,Shag River,1395332,4972638,-45.369862,170.386314,14243781,429,65.64,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"44, 83",V2
117266,1121007,Deepdell Creek,,26/02/2019,,Ryder Environmental Limited,,Deepdell Creek,Not Entered,Unknown,,726.17,Shag River,1398509,4974930,-45.350172,170.427779,14242173,340,59.48,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Anguilla australis,Shortfin eel,,,FALSE,FALSE,,,,100,V2
117266,1121007,Deepdell Creek,,26/02/2019,,Ryder Environmental Limited,,Deepdell Creek,Not Entered,Unknown,,726.17,Shag River,1398509,4974930,-45.350172,170.427779,14242173,340,59.48,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"65, 83",V2
117266,1121007,Deepdell Creek,,26/02/2019,,Ryder Environmental Limited,,Deepdell Creek,Not Entered,Unknown,,726.17,Shag River,1398509,4974930,-45.350172,170.427779,14242173,340,59.48,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,,FALSE,FALSE,,,,"105, 600",V2
117267,1121007,Deepdell Creek,,26/02/2019,,Ryder Environmental Limited,,Deepdell Creek,Not Entered,Unknown,,726.17,Shag River,1401819,4976095,-45.340639,170.470459,14241439,251,55.04,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Salmo trutta,Brown trout,,,FALSE,FALSE,,,,103,V2
117268,1121007,Deepdell Creek,,26/02/2019,,Ryder Environmental Limited,,Deepdell Creek,Not Entered,Unknown,,726.17,Shag River,1397326,4973943,-45.358707,170.412287,14242730,368,61.51,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"48, 102",V2
117268,1121007,Deepdell Creek,,26/02/2019,,Ryder Environmental Limited,,Deepdell Creek,Not Entered,Unknown,,726.17,Shag River,1397326,4973943,-45.358707,170.412287,14242730,368,61.51,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Paranephrops,Koura,,,FALSE,FALSE,,,,,V2
117269,1121007,Deepdell Creek,,26/02/2019,,Ryder Environmental Limited,,Deepdell Creek,Not Entered,Unknown,,726.17,Shag River,1397266,4973790,-45.360065,170.411459,14243069,379,62.38,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"45, 98",V2
117269,1121007,Deepdell Creek,,26/02/2019,,Ryder Environmental Limited,,Deepdell Creek,Not Entered,Unknown,,726.17,Shag River,1397266,4973790,-45.360065,170.411459,14243069,379,62.38,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Paranephrops,Koura,,,FALSE,FALSE,,,,,V2
117270,1121007,Deepdell Creek,,26/02/2019,,Ryder Environmental Limited,,Deepdell Creek,Not Entered,Unknown,,726.17,Shag River,1398019,4974698,-45.352118,170.421435,14242531,360,61.15,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"47, 91",V2
117271,1121001,Tipperary Creek,,26/02/2019,,Ryder Environmental Limited,,Tipperary Creek,Not Entered,Unknown,,726.09,Shag River,1404355,4972449,-45.374139,170.501353,14243629,432,39.32,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"75, 89",V2
117272,1121051,Murphys Creek,,26/02/2019,,Ryder Environmental Limited,,Murphys Creek,Not Entered,Unknown,,731.1,Waikouaiti River,1405420,4966875,-45.424562,170.512742,14247707,331,52.54,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"48, 74",V2
117273,1121051,Murphys Creek,,26/02/2019,,Ryder Environmental Limited,,Murphys Creek,Not Entered,Unknown,,731.1,Waikouaiti River,1405420,4966875,-45.424562,170.512742,14247707,331,52.54,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,54,V2
117276,1121019,Waikouaiti River North Branch 2,,5/03/2019,,Ryder Environmental Limited,,Waikouaiti River North Branch,Not Entered,Unknown,,731,Waikouaiti River,1401042,4967163,-45.42074,170.456951,14247405,470,59.38,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Nil,No species recorded,,,FALSE,FALSE,,,,,V2
117277,1121007,Deepdell Creek,,27/02/2019,,Ryder Environmental Limited,,Deepdell Creek tributary,Not Entered,Unknown,,726.17,Shag River,1395691,4975293,-45.346093,170.391991,14241819,494,67.31,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Nil,No species recorded,,,FALSE,FALSE,,,,,V2
117278,1121051,Murphys Creek,,7/03/2019,,Ryder Environmental Limited,,Murphys Creek,Not Entered,Unknown,,731.1,Waikouaiti River,1403034,4969612,-45.399281,170.483366,14245895,408,57.41,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Nil,No species recorded,,,FALSE,FALSE,,,,,V2
117279,1121051,Murphys Creek,,5/03/2019,,Ryder Environmental Limited,,Murphys Creek,Not Entered,Unknown,,731.1,Waikouaiti River,1402111,4969689,-45.398328,170.471615,14245851,424,58.03,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Nil,No species recorded,,,FALSE,FALSE,,,,,V2
118892,1121023,Mare Burn,,16/03/2020,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392962,4980505,-45.298427,170.359372,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Bait trap (Killwell),Unknown,,,,,,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"32,70",V2
118893,1121023,Mare Burn,,17/03/2020,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392688,4980530,-45.298121,170.355892,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Large,,,,,,,,,Paranephrops,Koura,,,FALSE,FALSE,,,,,V2
118893,1121023,Mare Burn,,17/03/2020,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392688,4980530,-45.298121,170.355892,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Large,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"42,104",V2
118893,1121023,Mare Burn,,17/03/2020,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392688,4980530,-45.298121,170.355892,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Bait trap (Killwell),Unknown,,,,,,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"40,110",V2
118893,1121023,Mare Burn,,17/03/2020,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392688,4980530,-45.298121,170.355892,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Bait trap (Killwell),Unknown,,,,,,,,,,,,,,Paranephrops,Koura,,,FALSE,FALSE,,,,,V2
