nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
28596,1181144,Princhester Creek,,13/04/2007,12:02,Department of Conservation Otago,,Princhester Creek tributary,Not Entered,Perennial,,797.422,Waiau R,1204261,4945082,-45.535219,167.931376,15262524,320,126.1,n,u,y,,,2,,0.5,Medium,Colourless,,,,,,,,,"Backwater:20, Pool:20, Run:40, Riffle:20","Mud:20, Sand (1-2 mm):20, Fine gravel:20, Coarse gravel:20, Cobbles (64-257 mm):20","Macrophytes-algae:y, Wood/instream debris:y, Bank vegetation:y, Undercut banks:y","Scrub:20, Grass/tussock:80",Electric fishing - Backpack,Unknown,1,,,,,,50,,,,,,,Oncorhynchus mykiss,Rainbow trout,,3,FALSE,FALSE,,,,,V1
28597,1181144,Princhester Creek,,13/04/2007,12:17,Department of Conservation Otago,,Princhester Creek tributary,Not Entered,Perennial,,797.422,Waiau R,1204379,4945018,-45.535859,167.93283,15262525,320,126.2,n,u,y,,,3,,0.5,Medium,Colourless,,,,,,,,,"Pool:40, Run:40, Riffle:20","Mud:40, Fine gravel:10, Coarse gravel:30, Cobbles (64-257 mm):20","Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,1,,,,,,50,,,,,,,Gobiomorphus breviceps,Upland bully,,3,FALSE,FALSE,,,,,V1
28597,1181144,Princhester Creek,,13/04/2007,12:17,Department of Conservation Otago,,Princhester Creek tributary,Not Entered,Perennial,,797.422,Waiau R,1204379,4945018,-45.535859,167.93283,15262525,320,126.2,n,u,y,,,3,,0.5,Medium,Colourless,,,,,,,,,"Pool:40, Run:40, Riffle:20","Mud:40, Fine gravel:10, Coarse gravel:30, Cobbles (64-257 mm):20","Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,1,,,,,,50,,,,,,,Galaxias gollumoides,Gollum galaxias,DNA.,3,FALSE,FALSE,,,,,V1
28597,1181144,Princhester Creek,,13/04/2007,12:17,Department of Conservation Otago,,Princhester Creek tributary,Not Entered,Perennial,,797.422,Waiau R,1204379,4945018,-45.535859,167.93283,15262525,320,126.2,n,u,y,,,3,,0.5,Medium,Colourless,,,,,,,,,"Pool:40, Run:40, Riffle:20","Mud:40, Fine gravel:10, Coarse gravel:30, Cobbles (64-257 mm):20","Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,1,,,,,,50,,,,,,,Galaxias species S,Southern flathead galaxias,DNA.,4,FALSE,FALSE,,,,,V1
28603,1181092,Oswald Stream tributary,,13/04/2007,16:24,Department of Conservation Otago,,Oswald Stream tributary,Not Entered,Perennial,,786.902,Oreti R,1227211,4934032,-45.646984,168.215825,15269826,340,140.9,n,u,u,,,0.8,,0.5,Unknown,Tea coloured or brown,,,,,,,,,"Pool:90, Riffle:10","Mud:85, Fine gravel:5, Coarse gravel:5, Cobbles (64-257 mm):5","Macrophytes-algae:y, Wood/instream debris:y, Bank vegetation:y, Undercut banks:y","Scrub:10, Grass/tussock:90",Electric fishing - Backpack,Unknown,1,,,,,,10,,,,,,,Galaxias gollumoides,Gollum galaxias,DNA.,4,FALSE,FALSE,,40,55,,V1
28603,1181092,Oswald Stream tributary,,13/04/2007,16:24,Department of Conservation Otago,,Oswald Stream tributary,Not Entered,Perennial,,786.902,Oreti R,1227211,4934032,-45.646984,168.215825,15269826,340,140.9,n,u,u,,,0.8,,0.5,Unknown,Tea coloured or brown,,,,,,,,,"Pool:90, Riffle:10","Mud:85, Fine gravel:5, Coarse gravel:5, Cobbles (64-257 mm):5","Macrophytes-algae:y, Wood/instream debris:y, Bank vegetation:y, Undercut banks:y","Scrub:10, Grass/tussock:90",Electric fishing - Backpack,Unknown,1,,,,,,10,,,,,,,Anguilla dieffenbachii,Longfin eel,,1,FALSE,FALSE,,500,,,V1
29483,1181065,Meadow Burn,,4/04/2008,11:30,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1275572,4902329,-45.955862,168.813379,15290563,93,104,n,u,n,Cows had been grazing along margins,30,4,,,Medium,Colourless,,,,,,,,,"Run:70, Riffle:30","Mud:20, Sand (1-2 mm):30, Fine gravel:30, Coarse gravel:20","Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n",Grass/tussock:100,Electric fishing - combination of nets and electric fishing,Unknown,,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,1,FALSE,FALSE,,200,,,V1
29490,1181035,Oteramika Stream,,4/04/2008,9:30,Southland Regional Council,,Oteramika Stream,Not Entered,Perennial,,775.08,Mataura R,1273665,4854378,-46.385345,168.755802,15314528,18,31.1,n,u,n,Two brown trout observed not caught,30,1.5,,,Low,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n",Grass/tussock:100,Electric fishing - combination of nets and electric fishing,Unknown,,,,,,,,,,,,,,Nil,No species recorded,,,FALSE,FALSE,,,,,V1
29497,1181081,Winton Stream,,13/02/2008,8:44,Southland Regional Council,,Winton Stream,Not Entered,Perennial,,786.33,Oreti R,1237600,4873044,-46.199576,168.302649,15307710,35,43,n,u,n,,30,6,,,Low,Colourless,,,,,,,,,"Pool:10, Run:50, Riffle:40","Sand (1-2 mm):15, Fine gravel:70, Coarse gravel:15","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n","Scrub:60, Grass/tussock:40",Electric fishing - combination of nets and electric fishing,Unknown,,,,,,,,,,,,,,Salmo trutta,Brown trout,,1,FALSE,FALSE,,95,,,V1
29497,1181081,Winton Stream,,13/02/2008,8:44,Southland Regional Council,,Winton Stream,Not Entered,Perennial,,786.33,Oreti R,1237600,4873044,-46.199576,168.302649,15307710,35,43,n,u,n,,30,6,,,Low,Colourless,,,,,,,,,"Pool:10, Run:50, Riffle:40","Sand (1-2 mm):15, Fine gravel:70, Coarse gravel:15","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n","Scrub:60, Grass/tussock:40",Electric fishing - combination of nets and electric fishing,Unknown,,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,7,FALSE,FALSE,,160,370,,V1
