"card","Month","Year","catchmentName","fragmentNumber","fragmentName","Catch No","m","y","catchname","catch","locality","time","org","map","east","north","altitude","penet","fishmeth","effort","pass","spcode","abund","number","minl","maxl","nzreach","abundnumber","aldfor","ameneb","angaus","angdie","angrei","anguil","caraur","chefos","cteide","cypcar","echauc","echone","galano","galarg","galaxi","galbre","galcob","galdep","galdiv","galeld","galfas","galgol","galgra","galmac","galmar","galpau","galpos","galpro","galpul","galspd","galspn","galspp","galsps","galspt","galvul","gamaff","geoaus","gobalp","gobbas","gobbre","gobcot","gobgob","gobhub","gobhut","gobiom","graham","hypmol","hyrmen","leuidu","marine","mugcep","mugil","neoapo","neobur","neodiv","neohel","neorek","nospec","oncmyk","oncner","onctsh","parane","parcur","parmar","perflu","poelat","poeret","prooxy","retret","rholep","rhombo","rhoret","salfon","salmo","salsal","saltru","scaery","stoani","tintin"
"5662","10","1983","St Andrews","1491106","Unnamed stream St Andrews","702","10","1983","St Andrews","702.000","Unnamed stream St Andrews","day","niwa","j39","2367000","5631200","5","0","han","50","","neobur","o","","","","13066994","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","occasional","","","","","","","","","","","","","","","","","","","","","","","","",""
"5662","10","1983","St Andrews","1491106","Unnamed stream St Andrews","702","10","1983","St Andrews","702.000","Unnamed stream St Andrews","day","niwa","j39","2367000","5631200","5","0","han","50","","gobbre","","1","","","13066994","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5669","1","1984","Selwyn River","1491036","Hororata River tributary 2","680.04","1","1984","Selwyn R","680.040","Hororata River","night","niwa","l36","2432100","5735100","140","65","ncn","","","neobur","c","","","","13048252","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","common","","","","","","","","","","","","","","","","","","","","","","","","",""
"5669","1","1984","Selwyn River","1491036","Hororata River tributary 2","680.04","1","1984","Selwyn R","680.040","Hororata River","night","niwa","l36","2432100","5735100","140","65","ncn","","","angaus","","1","","","13048252","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5669","1","1984","Selwyn River","1491036","Hororata River tributary 2","680.04","1","1984","Selwyn R","680.040","Hororata River","night","niwa","l36","2432100","5735100","140","65","ncn","","","gobbre","r","","","","13048252","rare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5929","5","1974","Waimate Creek","1491120","Waituna Stream ponds","708","5","1974","Waimate C","708.000","Unnamed pond","","niwa","j40","2356400","5607600","40","15","han","","","neobur","","2","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6634","8","1984","Selwyn River","1491060","Glendore Stream","680.08","8","1984","Selwyn R","680.080","Steventon Stream","1030","niwa","l35","2416600","5750800","360","90","ef","","0","gobbre","a","","","","13043644","abundent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","abundent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6635","8","1984","Selwyn River","1491060","Glendore Stream","680.08","8","1984","Selwyn R","680.080","Steventon Stream pond","day","niwa","l35","2417300","5750400","330","89","ef","","0","gobbre","","","","","0","present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6639","10","1984","Morven Drain","1491126","Dog Kennel Stream","710.02","10","1984","Morven Dn","710.020","Dog Kennel Stream","1300","niwa","j40","2354400","5592800","80","14","han","","","neobur","","","","","13069326","present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","present","","","","","","","","","","","","","","","","","","","","","","","","",""
"6639","10","1984","Morven Drain","1491126","Dog Kennel Stream","710.02","10","1984","Morven Dn","710.020","Dog Kennel Stream","1300","niwa","j40","2354400","5592800","80","14","han","","","gobbre","","3","","","13069326","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6640","10","1984","Pareora River","1491105","Taiko Stream (Translocation)","701.04","10","1984","Pareora R","701.040","Taiko Stream","1045","niwa","j38","2354900","5650500","130","30","pun","","","nospec","","0","","","13065567","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
