"card","Month","Year","catchmentName","fragmentNumber","fragmentName","Catch No","m","y","catchname","catch","locality","time","org","map","east","north","altitude","penet","fishmeth","effort","pass","spcode","abund","number","minl","maxl","nzreach","abundnumber","aldfor","ameneb","angaus","angdie","angrei","anguil","caraur","chefos","cteide","cypcar","echauc","echone","galano","galarg","galaxi","galbre","galcob","galdep","galdiv","galeld","galfas","galgol","galgra","galmac","galmar","galpau","galpos","galpro","galpul","galspd","galspn","galspp","galsps","galspt","galvul","gamaff","geoaus","gobalp","gobbas","gobbre","gobcot","gobgob","gobhub","gobhut","gobiom","graham","hypmol","hyrmen","leuidu","marine","mugcep","mugil","neoapo","neobur","neodiv","neohel","neorek","nospec","oncmyk","oncner","onctsh","parane","parcur","parmar","perflu","poelat","poeret","prooxy","retret","rholep","rhombo","rhoret","salfon","salmo","salsal","saltru","scaery","stoani","tintin"
"102539","6","2013","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2013","Selwyn R","680.040","Hororata River tributary","","docc","L36","2430759","5736954","153","68","gmt","10","","gobbre","","1","86","","13047681","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102539","6","2013","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2013","Selwyn R","680.040","Hororata River tributary","","docc","L36","2430759","5736954","153","68","gmt","10","","neobur","","21","61","127","13047681","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","",""
"102540","6","2014","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2014","Selwyn R","680.040","Hororata River tributary","","docc","L36","2431264","5736752","152","68","gmt","10","","neobur","","1","70","","13047582","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"102541","6","2014","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2014","Selwyn R","680.040","Hororata River tributary","","docc","L36","2430808","5736493","","","gmt","10","","saltru","","2","85","97","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","",""
"102542","6","2014","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2014","Selwyn R","680.040","Hororata River tributary","","docc","L36","2431367","5736278","149","68","gmt","10","","saltru","","3","64","76","13048015","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","",""
"102542","6","2014","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2014","Selwyn R","680.040","Hororata River tributary","","docc","L36","2431367","5736278","149","68","gmt","10","","gobbre","","1","96","","13048015","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102543","6","2014","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2014","Selwyn R","680.040","Hororata River tributary","","docc","L36","2431218","5736442","153","68","gmt","10","","saltru","","5","68","105","13047681","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","",""
"102544","6","2014","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2014","Selwyn R","680.040","Hororata River tributary","","docc","L36","2430759","5736954","153","68","gmt","10","","neobur","","2","65","75","13047681","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"102544","6","2014","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2014","Selwyn R","680.040","Hororata River tributary","","docc","L36","2430759","5736954","153","68","gmt","10","","galvul","","1","","","13047681","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102544","6","2014","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2014","Selwyn R","680.040","Hororata River tributary","","docc","L36","2430759","5736954","153","68","gmt","10","","saltru","","1","73","","13047681","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
"102545","6","2013","Avon River","1491030","Avon River pond (Translocation)","666","6","2013","Avon R","666.000","Unnamed pond","","docc","M35","2474147","5740670","","","gmt","5","","neobur","","18","76","124","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","",""
"102546","5","2014","Avon River","1491030","Avon River pond (Translocation)","666","5","2014","Avon R","666.000","Unnamed pond","","docc","M35","2474147","5740670","","","gmt","5","","neobur","","1","97","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"102547","5","2015","Avon River","1491030","Avon River pond (Translocation)","666","5","2015","Avon R","666.000","Unnamed pond","","docc","M35","2474147","5740670","","","gmt","5","","neobur","","1","105","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"102548","6","2013","Waimakariri River","1491008","Unnamed ponds Waimakariri River tributary (Translocation)","664.05","6","2013","Waimakariri R","664.050","Peacock Springs","","docc","M35","2472317","5748651","31","19","gmt","10","","neobur","","2","74","79","13044380","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"102551","5","2015","Waimakariri River","1491008","Unnamed ponds Waimakariri River tributary (Translocation)","664.05","5","2015","Waimakariri R","664.050","Peacock Springs","1400","docc","M35","2470781","5749134","","","gmt","15","","neobur","","47","78","164","","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","","","","","","","","","","","","","","","","","","","","","","","",""
"102552","5","2015","Waimakariri River","1491008","Unnamed ponds Waimakariri River tributary (Translocation)","664.05","5","2015","Waimakariri R","664.050","Peacock Springs","1245","docc","M35","2471380","5748921","","","gmt","20","","neobur","","23","90","136","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","",""
"102553","5","2015","Waimakariri River","1491008","Unnamed ponds Waimakariri River tributary (Translocation)","664.05","5","2015","Waimakariri R","664.050","Peacock Springs","1115","docc","M35","2472317","5748651","31","19","gmt","10","","neobur","","21","61","89","13044380","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","",""
"102554","6","2013","Selwyn River","1491037","Hororata River tributary 3","680.04","6","2013","Selwyn R","680.040","Hororata River tributary","","docc","L36","2431987","5735386","","","gmt","10","","neobur","","33","65","129","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","","","","","","","","","","","","","","","","","","","","","","","",""
"102555","6","2014","Selwyn River","1491037","Hororata River tributary 3","680.04","6","2014","Selwyn R","680.040","Hororata River tributary","","docc","L36","2431987","5735386","","","gmt","10","","neobur","","5","103","124","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"102556","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363648","5622653","32","4","gmt","1","","nospec","","","","","13067525","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"102557","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363676","5622633","32","4","gmt","1","","neobur","","1","132","","13067525","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"102558","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363712","5622604","32","4","gmt","1","","nospec","","1","","","13067525","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"102559","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363736","5622529","32","4","gmt","1","","neobur","","1","97","","13067525","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"102560","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363751","5622478","32","4","gmt","1","","neobur","","1","77","","13067525","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"102561","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363667","5622656","32","4","fyn","1","","nospec","","1","","","13067525","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"102562","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363655","5622666","32","4","fyn","1","","gobcot","","3","","","13067525","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102567","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364013","5623869","7","5","gmt","1","","neobur","","2","95","95","13067439","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"102568","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364021","5623856","7","5","ntc","2","","nospec","","1","","","13067439","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"102569","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364035","5623861","7","5","gmt","1","","gobcot","","1","","","13067439","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102570","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364074","5623879","7","5","fyn","1","","gobcot","","47","","","13067439","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102571","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364146","5623920","7","5","fyn","1","","gobcot","","8","","","13067439","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102572","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364204","5623941","7","5","fyn","1","","gobcot","","29","","","13067439","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102572","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364204","5623941","7","5","fyn","1","","angaus","","3","","","13067439","3","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102573","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364174","5623970","7","5","gmt","1","","gobcot","","21","","","13067439","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102574","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364226","5623912","7","5","fyn","1","","gobcot","","24","","","13067439","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102574","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364226","5623912","7","5","fyn","1","","angaus","","3","","","13067439","3","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102574","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364226","5623912","7","5","fyn","1","","galmac","","1","","","13067439","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102575","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364307","5623851","7","5","fyn","1","","gobcot","","3","","","13067439","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102575","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364307","5623851","7","5","fyn","1","","angaus","","2","","","13067439","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102576","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364127","5624202","","","fyn","1","","angaus","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102576","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364127","5624202","","","fyn","1","","gobcot","","8","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102577","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364103","5624129","","","fyn","1","","gobcot","","6","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102578","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364109","5624191","","","fyn","1","","gobcot","","84","","","","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102579","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364102","5624203","","","ntc","3","","gobcot","","143","","","","143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102580","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364121","5624212","","","ntc","3","","gobcot","","190","40","95","","190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102580","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364121","5624212","","","ntc","3","","neobur","","1","85","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"102581","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364133","5624252","","","gmt","2","","neobur","","2","95","95","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"102581","9","2014","Kohika Stream","1491108","Kohika Stream tributary 2","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364133","5624252","","","gmt","2","","gobcot","","59","35","85","","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102583","9","2014","Kohika Stream","1491107","Kohika Stream tributary 1","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364406","5624960","31","7","gmt","2","","nospec","","1","","","13067360","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"102584","9","2014","Kohika Stream","1491107","Kohika Stream tributary 1","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364417","5624981","31","7","gmt","2","","nospec","","1","","","13067360","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"102585","9","2014","Kohika Stream","1491107","Kohika Stream tributary 1","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364432","5625010","31","7","ntc","5","","neobur","","3","85","95","13067360","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"102586","9","2014","Kohika Stream","1491107","Kohika Stream tributary 1","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364429","5624978","31","7","gmt","5","","angaus","","1","","","13067360","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102586","9","2014","Kohika Stream","1491107","Kohika Stream tributary 1","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364429","5624978","31","7","gmt","5","","gobcot","","11","","","13067360","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102587","9","2014","Kohika Stream","1491107","Kohika Stream tributary 1","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364481","5624992","31","7","ntc","7","","gobcot","","34","","","13067360","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102588","9","2014","Kohika Stream","1491107","Kohika Stream tributary 1","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364583","5624930","31","7","ntc","5","","gobcot","","4","","","13067360","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102589","9","2014","Kohika Stream","1491107","Kohika Stream tributary 1","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364557","5624905","31","7","ntc","5","","gobcot","","30","","","13067360","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102590","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363766","5622416","32","4","gmt","1","","gobcot","","1","","","13067525","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102591","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363798","5622301","32","4","gmt","1","","neobur","","4","110","140","13067525","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"102592","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363823","5622217","32","4","fyn","1","","gobcot","","28","","","13067525","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102593","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363833","5622176","32","4","gmt","1","","gobcot","","11","35","95","13067525","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102593","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363833","5622176","32","4","gmt","1","","neobur","","5","75","110","13067525","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"102594","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363818","5622240","32","4","gmt","1","","neobur","","2","70","90","13067525","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"102594","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363818","5622240","32","4","gmt","1","","gobcot","","50","35","85","13067525","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102595","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363882","5622103","32","4","gmt","1","","gobcot","","38","","","13067525","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102596","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363904","5622080","32","4","fyn","1","","gobcot","","26","","","13067525","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102597","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363960","5622060","32","4","gmt","1","","gobcot","","45","","","13067525","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102598","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363994","5622049","32","4","gmt","1","","gobcot","","42","30","70","13067525","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102598","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2363994","5622049","32","4","gmt","1","","neobur","","2","75","90","13067525","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"102599","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364057","5622029","32","4","gmt","1","","gobcot","","29","","","13067525","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102600","9","2014","Kohika Stream","1491110","Kohika Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364064","5622001","3","4","gmt","1","","gobcot","","37","","","13067601","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102601","9","2014","Kohika Stream","1491111","Horseshoe Bend Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364091","5621953","3","4","gmt","1","","gobcot","","31","","","13067601","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102602","9","2014","Kohika Stream","1491111","Horseshoe Bend Stream","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364025","5621808","3","4","obs","1","","nospec","","","","","13067601","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"102603","9","2014","Kohika Stream","1491107","Kohika Stream tributary 1","704","9","2014","Kohika Stream","704.000","Kohika Stream tributary","","doco","J39","2364675","5624964","31","7","gmt","1","","nospec","","1","","","13067360","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
